example_id,customer_text,actual_intent,predicted_intent,confidence,top_similarity,escalation_decision,escalation_reason
1,@AmazonHelp I love the @115821 Prime too y'all on point for that!!!,customer_service_other,customer_service_other,0.29460526113171165,0.33547441667112304,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
2,I really can’t handle stupid people this early in the morning. I’m talk to you @115821 Third call into customer “care” #annoyed,customer_service_other,customer_service_other,0.3162051202459562,0.23106646358388785,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
3,@240244 @AmazonHelp @149473 I paid amount to amazon not to bluedart so amazon should look at it and should coordinate with them.Poor service from both bluedart &amp; amazon,customer_service_other,delivery_delay,0.21329229741557132,0.2690004328333211,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
4,@115850 Order shows delivered but nobody came to deliver the package Order Id:   404-8193082-7734751,delivery_missing,delivery_missing,0.5056906374057906,0.3084416021024329,auto_handle,Routine support issue with sufficient classification confidence.
5,@AmazonHelp I got in touch with ur customer rep. They say videos are not supported on SD card and should be downloaded to internal storage only.,customer_service_other,technical_support,0.4715218377966744,0.35248135706569295,auto_handle,Routine support issue with sufficient classification confidence.
6,@115850 @132994 @139570 @132995 Finally today I received my One+5 Smartphone.Long   wait is over. Question remains who will compensate pain &amp;agony I faced? @132994,customer_service_other,delivery_delay,0.2506206134306999,0.36937522258404965,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
7,"@AmazonHelp It was expected 10/30-10/31 so yes, it has passed.",customer_service_other,delivery_delay,0.24544575492175472,0.3470211607114882,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
8,This is unacceptable and I’m livid.  @115821 come on now! https://t.co/HOX2hf1zIA,customer_service_other,customer_service_other,0.2212241248232497,0.39262035061526,escalate,Customer message contains strong complaint or risk signals.
9,@AmazonHelp What's the response from amazon team. I'm anxious to see my idea @115850,customer_service_other,customer_service_other,0.3064116453573766,0.2682054618875218,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
10,HURRY UP @115830 I WANT MY TREE,customer_service_other,delivery_delay,0.22235000888771586,0.48989988135600465,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
