example_id,customer_text,intent,predicted_intent,confidence,amazon_text
3,@240244 @AmazonHelp @149473 I paid amount to amazon not to bluedart so amazon should look at it and should coordinate with them.Poor service from both bluedart &amp; amazon,customer_service_other,delivery_delay,0.1399445579352689,@295979 Kindly check for the correspondence sent by the Social Media team here: https://t.co/8DAc10S7ww ^AP
5,@AmazonHelp I got in touch with ur customer rep. They say videos are not supported on SD card and should be downloaded to internal storage only.,customer_service_other,technical_support,0.2780775707779349,@765660 There's no possibility for content on Prime video to save offline on a memory card. You might want to check with manufacturer. ^HT
6,@115850 @132994 @139570 @132995 Finally today I received my One+5 Smartphone.Long   wait is over. Question remains who will compensate pain &amp;agony I faced? @132994,customer_service_other,delivery_delay,0.1881051550832625,@218503 please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. (2/2) ^JS
7,"@AmazonHelp It was expected 10/30-10/31 so yes, it has passed.",customer_service_other,delivery_delay,0.1732497652188359,@119969 Please contact us: https://t.co/hApLpMlfHN so an agent can look into this for you. ^JJ
8,This is unacceptable and I’m livid.  @115821 come on now! https://t.co/HOX2hf1zIA,customer_service_other,product_issue,0.1573516054039366,"@781981 I'm very sorry for the delay with your package, Maggie! We definitely understand the frustration! Delayed orders typically arrive 1-2 days after the missed delivery date. Please let us know if it hasn't arrived by end date of new delivery date. ^HM"
10,HURRY UP @115830 I WANT MY TREE,customer_service_other,return_refund,0.1462653434736157,@244109 Hello! I understand you have an order on the way. Have we missed the expected delivery date shown on the order confirmation email? ^RO
14,@AmazonHelp My simple querry is MRP printed on pruduct is 1199. Then how come? You are selling it for 1399. Your conditions given on the link,customer_service_other,seller_promotion,0.2936520636311328,"@444537 I understand the confusion you have with the MRP, Om. You can get a clarity on it here https://t.co/KEvww0DWc8 ^MA"
15,"So I turn off one-click purchase on all devices, and it is still enabled on all my devices.  What's up with that @AmazonHelp ?   Seems kinda shady...",customer_service_other,technical_support,0.3445402488751238,@283984 Hi Andy. When did you make the change? Did you receive confirmation it was a success? ^NV
16,"@115850 Order had 2 reach by 29th. Now says, the order is ON-Time n will reach by 1st Dec. I need complete reimbursement n compensation, not only for False commitment but also for FALSE statements. Dis is really Pathetic. Amazon wants customers 2 remain Blind n Idiot. Pathetic support https://t.co/NQz2HvpQa5",return_refund,delivery_delay,0.1850093863332243,"@136308 Apologies for the inconvenience regarding the delivery. Kindly report this to our team here: https://t.co/rS49hgaADF so that they can assist you accordingly. Also, I'd inform you that we won't be able to provide any compensation. Appreciate your understanding. ^BV"
17,Another #Prime delivery that wasn't received on time &amp; delivery partner listed as delivered #epicfail @115850 Won't renew #Prime m'bership,customer_service_other,delivery_delay,0.3290796652316726,"@383290 Apologies for the miss on delivery, we certainly did not expect this to happen. 1/2 ^PS"
18,@AmazonHelp It's my office address and it closes by 6-6:15 pm. For the package i have to wait till 8 pm ?? And by the way it guy told me he is coming by 2 pm but still he is not der and not evening picking my call.,customer_service_other,delivery_delay,0.1750151990060552,"@132985 Apologies for the trouble. We'd deliver till 7:00pm on commercial addresses. Further, have you reported this to our support team here: https://t.co/vlvfJr4nN9? ^RB"
19,"@115850 Order #405-9035122-8981915 
What's up with the wrong math?
#justasking https://t.co/WvWRgHkBtY",customer_service_other,payment_billing,0.2629938456340124,"@183222 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA"
